bank,header,level,H_grammar,H_grammar_notes,H_passive_verbs,H_subheadings,H_subheadings_notes,H_length,N_length_notes,N_length
natwest,9 Availability of the MyRewards service and our liability,1,,,,,,0,9,0
santander,Current Accounts Specific Conditions for accounts no longer available to new customers,0,,,,,,0,12,0
santander,Contents,0,,,,,,0,1,1
santander,Specific Conditions,0,,,,,,1,2,1
santander,Specific Conditions A: For Zero Current Accounts,1,,,,0.0,,0,7,0
santander,A1 Introduction,2,,,,0.0,,1,2,1
santander,A2 Eligibility,2,,,,0.0,,1,2,1
santander,A3 Number of accounts,2,,,,0.0,,0,4,0
santander,A4 Use of your account,2,,,,0.0,,0,5,0
santander,A5 Joint Accounts,2,,,,0.0,,1,3,0
santander,A6 Overdrafts,2,,,,0.0,,1,2,1
santander,A7 Definitions,2,,,,0.0,,1,2,1
santander,Specific Conditions B: Instant Plus Account,1,,,,0.0,,0,6,0
santander,B1 Joint accounts,2,,,,0.0,,1,3,0
santander,B2 Paying money into your account,2,,,,0.0,,0,6,0
santander,B3 Overdrafts,2,,,,0.0,,1,2,1
santander,B4 Refusing a payment due to lack of funds,2,,,,0.0,,0,9,0
santander,B5 Transferring your account,2,,,,0.0,,0,4,0
santander,Specific Conditions C: For 1I2I3 Graduate Current Accounts,1,,,,0.0,,0,8,0
santander,C1 Introduction,2,,,,0.0,,1,2,1
santander,C2 Eligibility,2,,,,0.0,,1,2,1
santander,C3 Use of your account,2,,,,0.0,,0,5,0
santander,C4 Joint Accounts,2,,,,0.0,,1,3,0
santander,C5 Overdrafts,2,,,,0.0,,1,2,1
santander,C6 Allowing a payment despite lack of funds,2,,,,0.0,,0,8,0
santander,C7 Maintaining the account,2,,,,0.0,,0,4,0
santander,C8 Funding requirements,2,,,,0.0,,0,3,0
santander,C9 Transferring your account,2,,,,0.0,,0,4,0
santander,Specific Conditions D: For 1I2I3 Postgraduate Current Accounts Introduction,1,,,,0.0,,0,9,0
santander,D2 Eligibility,2,,,,0.0,,1,2,1
santander,D3 Use of your account,2,,,,0.0,,0,5,0
santander,D4 Joint Accounts,2,,,,0.0,,1,3,0
santander,D5 Maintaining the account,2,,,,0.0,,0,4,0
santander,D6 Funding requirements,2,,,,0.0,,1,3,0
santander,D7 Overdrafts,2,,,,0.0,,1,2,1
santander,D8 Allowing a payment despite lack of funds,2,,,,0.0,,0,8,0
santander,D9 Ending your studies,2,,,,0.0,,0,4,0
santander,Specific Conditions E: Variations to all accounts,1,,,,0.0,,0,7,0
first_direct,Give me the facts,0,,,,,,0,4,0
first_direct,Welcome,0,,,,,,1,1,1
first_direct,Contents,0,,,,,,0,1,1
first_direct,Accessibility,1,,,,1.0,why is accessibility under contents,1,1,1
first_direct,Easy access to your account,0,,,,,,0,5,0
first_direct,Online,1,,,,0.0,,1,1,1
first_direct,On your mobile,1,,,,0.0,,1,3,0
first_direct,By phone,1,,,,0.0,,1,2,1
first_direct,By Text-phone,1,,,,0.0,,1,2,1
first_direct,In HSBC branches,1,,,,0.0,,1,3,0
first_direct,Services available at Post Office branches,1,1.0,"miscapitalisation of ""Payment""",,0.0,,0,6,0
first_direct,What Payment types are there?,0,1.0,"miscapitalisation of ""Payment"" (in-context with document)",,,,0,5,0
first_direct,International Payments,1,,,,0.0,,1,2,1
first_direct,Protecting your information,0,,,,,,0,3,0
first_direct,Keep your details up-to-date,2,,,,0.0,,0,4,0
first_direct,Regularly check your statements,2,,,,0.0,,0,4,0
first_direct,Tips for writing cheques,2,,,,1.0,uncertain how it relates,0,4,0
first_direct,Telephone banking,2,,,,1.0,uncertain how it relates,1,2,1
first_direct,Textphone users,2,,,,1.0,uncertain how it relates,1,2,1
first_direct,Important Security Information,2,,,,0.0,,0,3,0
first_direct,General,2,,,,1.0,uncertain how it relates,1,1,1
first_direct,Cards and Card PINs,2,,,,0.0,,1,4,0
first_direct,Contacting us about security concerns,2,,,,0.0,,0,5,0
first_direct,Additional information,0,,,,,,1,2,1
first_direct,Services for disabled customers,1,,,,0.0,,0,4,0
first_direct,Important information,0,,,,,,1,2,1
first_direct,Protecting yourself against Fraud and financial crime,1,1.0,"miscapitalisation of ""Fraud""",,1.0,should be under earlier header,0,7,0
first_direct,Dormant accounts,1,,,,0.0,,1,2,1
first_direct,Financial difficulties,1,,,,0.0,,1,2,1
first_direct,The Financial Services Compensation Scheme,1,,,,0.0,,0,5,0
santander_c,Terms for cashback applicable to the All in One Credit Card,0,1.0,"Needs hypens: ""All-in-One""",,,,0,11,0
santander_c,Eligible purchases,0,,,,,,1,2,1
santander_c,How we pay cashback,0,,,,,,0,4,0
santander_c,Stopping or changing cashback payments,0,,,,,,0,5,0
santander_c,"Queries, complaints and how we are regulated",0,,,1.0,,,0,7,0
natwest_p,NatWest Privacy Notice,0,,,,,,0,3,0
natwest_p,Contents,0,,,,,,0,1,1
natwest_p,1 Who we are,0,,,,,,0,4,0
natwest_p,2 The information we process,0,,,,,,0,5,0
natwest_p,3 How we obtain information,0,,,,,,0,5,0
natwest_p,4 Your rights,0,,,,,,0,3,0
natwest_p,Table A - Your Rights,1,,,,0.0,,0,5,0
natwest_p,5 Changes to the way we use your information,0,,,,,,0,9,0
natwest_p,6 How we use and share your information with other NatWest group companies,0,,,,,,0,13,0
natwest_p,7 Sharing with third parties,0,,,,,,0,5,0
natwest_p,8 Transferring information overseas,0,,,,,,0,4,0
natwest_p,9 Marketing information,0,,,,,,1,3,0
natwest_p,10 Communications about your account,0,,,,,,0,5,0
natwest_p,11 Credit reference and fraud prevention agencies,0,,,,,,0,7,0
natwest_p,12 How long we keep your information,0,,,,,,0,7,0
natwest_p,13 Security,0,,,,,,1,2,1
natwest_p,Schedule A - Schedule of Purposes of Processing,1,,,,1.0,relevance not established,0,8,0
natwest_p,A Contractual necessity,2,,,,1.0,relevance not established,1,3,0
natwest_p,B Legal obligation,2,,,,1.0,relevance not established,1,3,0
natwest_p,C Legitimate interests of the bank,2,,,,1.0,relevance not established,0,6,0
barclays_m,Mortgage Intermediary - Terms and Conditions,0,,,,,,0,6,0
barclays_m,In these Terms and Conditions the following definitions shall apply:,1,1.0,"Comma missing: ""Terms and Conditions, the following""",1.0,0.0,,0,10,0
barclays_m,1. Supply of Services,1,,,,0.0,,1,4,0
barclays_m,2. Knowing Your Customer (KYC) Checks,1,,,,0.0,,0,6,0
barclays_m,3. Applications,1,,,,0.0,,1,2,1
barclays_m,4. Authorisation Requirements,1,,,,0.0,,1,3,0
barclays_m,5. Compliance Requirements,1,,,,0.0,,1,3,0
barclays_m,6. Complaints Procedure,1,,,,0.0,,1,3,0
barclays_m,7. Fees,1,,,,0.0,,1,2,1
barclays_m,8. Procedure for Payment of Procurement Fees,1,,,,0.0,,0,7,0
barclays_m,9. Monitoring and Access,1,,,,0.0,,1,4,0
barclays_m,10. Intellectual Property Rights and Indemnity,1,,,,0.0,,0,6,0
barclays_m,11. Confidentiality and Data Protection,1,,,,0.0,,0,5,0
barclays_m,12. Indemnity and Insurance,1,,,,0.0,,1,4,0
barclays_m,13. Liability,1,,,,0.0,,1,2,1
barclays_m,14. Term and Termination,1,,,,0.0,,1,4,0
barclays_m,15. General,1,,,,0.0,,1,2,1
barclays_m,16. Anti-Bribery,1,,,,0.0,,1,2,1
barclays_m,17. Governing Law and Jurisdiction,1,,,,0.0,,1,5,0
barclays_m,18. Disclosure,1,,,,0.0,,1,2,1
barclays_m,19. Entire Agreement,1,,,,0.0,,1,3,0
barclays_m,20. United States Government Contact,1,,,,0.0,,0,5,0
barclays_m,How We will use personal information about You,1,1.0,Incorrect capitalisation: all words need to be capitalised,,1.0,improper formatting consistency,0,8,0
