bank,header,body,H_keywords,H_keyword_notes,N_keywords_notes,N_keywords
hsbc,How and when will we give you the loan?,"When you have signed and returned the agreement, we will sign it. The agreement will start on that day and will end when you have repaid everything you owe us. 1. We will pay the loan into the current account you gave in your application. This will usually be no more than five working days after the start date or the specific date you asked for. If the loan is to repay any other borrowing from us, the amount in your current account will be what is left over (if anything) after we have taken away the amount needed to repay those borrowings. 2. If you repay more than the total amount payable, we will close the account and return the amount you overpaid to another account you hold with us or by sending you a cheque.",0.0,,give,1
hsbc,What is the cost of the loan?,"3. We charge a fixed amount of interest which we add to the loan when we open the loan account. The total amount payable by you is the sum of interest and the loan. Although it is added upfront, we work out interest (and the APR) as if the loan amount was reduced by each projected repayment, using the interest rate, the number of monthly repayments and the period of the loan. For these purposes, we assume we provide the loan one month (or, if you have an initial payment holiday, three months) before the first repayment date.",1.0,cost,cost,1
hsbc,How must you repay the loan?,"4. You must make the monthly repayments set out in your agreement. If a repayment date is a non-working day you must make the repayment (or we will collect it) on the next working day. 5. After you have made your first repayment, you can change the monthly repayment date if you ask us. We will not be able to change your next repayment date but we will change all subsequent repayment dates. You can only change the date twice in any 12 month period. Changing the repayment date will not affect the amount of interest on the loan.",1.0,repay,repay,1
hsbc,What should you do if your details change?,"6. If you change your name, address, telephone number or email address you must tell us in writing or by calling us. We will use the most recent details you have given us to send information and contact you.",1.0,details,change,1
hsbc,Can you repay the loan early?,"7. You can repay all, or part, of the loan early by giving us notice in writing or by telephone. If you give us notice, we will tell you the amount needed to repay the loan in full within the next 28 days (or on a later date you tell us). 8. If you repay part of the loan early, your monthly repayment will stay the same but you may repay the loan more quickly. If you repay the loan in full, the formula in the regulations we use to work out the reduced amount of interest we can charge, works as if we charged interest at the rate that applies to the loan from the date we gave you the loan to the date which is 28 days after you give us notice, plus an additional month if your loan is repayable over a period of more than 12 months. For example, if the loan is for 36 months and you give us notice on 1 September that you want to repay the loan on 14 September, the amount required to repay the loan will include interest up to 29 October.",1.0,repay,"repay, early",1
hsbc,What are our rights if you miss a repayment or we have other concerns?,"9. There may be severe consequences if: (a) you do not make repayments on time; or (b) we find that any information you provided as part of your loan application was materially incorrect or misleading; or (c) you are declared bankrupt or have similar proceedings taken against you; or (d) we reasonably suspect any fraud or other criminal activity in connection with this agreement and/or any other facility or account that you have with us. In any of these cases, we can: * demand immediate repayment of the loan; * disclose information about you and the conduct of your loan to licensed credit reference agencies (which may make it more difficult for you to borrow in future); * restrict access to credit on other accounts you have with us (such as an overdraft or credit card); * bring legal action to recover the loan (which could include asking a court to order that, if a property you own is sold for any reason, some of the sale proceeds are used to repay this loan); and * require you to pay our reasonable costs and expenses for taking action to obtain payment, including legal costs; but we will give you advance notice and (unless the problem cannot be fixed) the opportunity to fix the problem before taking any of these steps. 10. If we choose not to enforce our rights under this agreement at any time, we may enforce them at a later date instead.",1.0,"rights, repay",repayment,1
hsbc,Can we use any other funds to repay the loan?,"11. If we hold any money for you on another account (for example if you have money in a current or savings account), we can use it to reduce or repay any sums you fail to pay under this agreement but only after we have checked that you have enough left in your accounts to cover essential living costs. We will give you advance notice and the opportunity to fix the problem first. 12. If you have provided security for any other borrowing from us, it will not apply to the loan.",1.0,repay,repay,1
hsbc,Can we transfer our rights under this agreement?,"13. We may transfer our rights and our obligations under this agreement to a third party, including information about you and how you have managed the loan which the third party needs to know.",1.0,"rights, transfer",,0
hsbc,What law governs this agreement?,"14. This agreement, and everything that happens in relation to this agreement before it is made, are governed by the laws, and subject to the non-exclusive jurisdiction of the courts, of England and Wales. We will communicate with you at all times in English.",1.0,law,,0
hsbc,Right to withdraw,"You can withdraw from this agreement (without giving any reason) by sending written notice or calling us within 14 days, starting the day after we confirm that we have signed the agreement. To tell us that you want to withdraw, please use the details under Important Information below. You must repay the loan, without delay, within 30 days, starting the day after you tell us that you want to withdraw, together with interest for each day until you repay. We wonât charge any interest if you repay the loan in full within 14 days starting the day we provide the loan. You can repay by calling us or by visiting one of our branches. If the loan is to repay any other borrowing from us, withdrawing from this agreement will not reinstate your existing agreements. These will end when we sign this agreement and apply this loan to repay everything you owe under those agreements.",1.0,right,withdraw,1
hsbc,Important information,nan,0.0,,,0
hsbc,How to contact us,"If you need to contact us e.g. to update your contact details, ask for information about early repayment, tell us that you want to withdraw from the agreement or make a complaint please call 03457 404 404.",1.0,contact,contact,1
hsbc,How can you keep track of what you owe?,"You may ask us at any time for a statement of account. This statement will be in the form of a table setting out: * details (including the amounts) of the repayments you still owe; * the dates on which each repayment is due; and * a breakdown of each repayment showing how much comprises capital, interest and, if applicable, other charges. We will not charge for the statement.",1.0,owe,owe,1
hsbc,How can you make a complaint?,"If we do not give the standard of service you expect, or if you think we have made a mistake, please let us know so we can investigate, put matters right and take steps to prevent it happening again. If you are not happy with the way that we deal with your complaint, you may be able to refer your complaint to the Financial Ombudsman Service by writing to Financial Ombudsman Service, Exchange Tower, London E14 9SR, calling 0800 023 4 567 or 0300 123 9 123 or sending an email to complaint.info@financial-ombudsman.org.uk.",1.0,complaint,"make, complaint",1
hsbc,How we are authorised,"HSBC UK Bank plc is established and has its registered office at 1 Centenary Square, Birmingham B1 1HQ. We are a financial services organisation and banking institution authorised by the Prudential Regulation Authority and regulated by the Financial Conduct Authority and the Prudential Regulation Authority. Our reference number is 765112. You can check this on the Financial Services Register by visiting the Financial Conduct Authority website www.fca.org.uk or by contacting the Financial Conduct Authority on 0800 111 6768. The Financial Conduct Authority is the supervisory authority under the Consumer Credit Act 1974. Its address is 12 Endeavour Square, London E20 1JN.",1.0,authorised,,0
hsbc,Accessibility,"To find out more about our accessible services please visit www.hsbc.co.uk/accessibility or ask at any of our branches. If you'd like this in another format such as large print, Braille or audio, please contact us. A textphone service is also available for customers with hearing and/or speech impairments. If you use your own textphone you can call us on 03457 125 563 (+44 207 088 2077 from overseas). ",1.0,accessibility,,0
lloyds,Club Lloyds Lifestyle Benefits Terms and Conditions,nan,0.0,,"club, lifestyle",1
lloyds,General Terms and Conditions,"1. Club Lloyds Lifestyle Benefits are only available to Club Lloyds account holders, who are resident in the UK and aged 18 or over. 2. On opening a Club Lloyds account with Lloyds Bank, you will be invited to select one benefit choice per account year. 3. You can select one of the following Lifestyle Benefits: 6 cinema tickets, a 12-month Magazine Subscription, a 12-month Gourmet Society Digital Membership or 12 Rakuten TV movie rental codes. 4. Once you have opened a qualifying Club Lloyds account you will receive a welcome email or letter providing details of any actions you need to take. The Administrator will contact you by email if you provided an email address when you opened your Club Lloyds account. If you did not provide an email address, the Administrator will contact you by post. You should check your junk folder for any email communications. 5. To receive the benefit in full for the first year, you have 30 days from opening your Club Lloyds account to make your Lifestyle Benefit selection and you may change your selection within the 30-day period. Once the 30-day period has expired you will not be able to change your Lifestyle Benefit selection other than as set out in condition 14. If you make your Lifestyle Benefit selection after the initial 30-day period, then it will be fulfilled on a pro-rata basis. For example, if you make your Lifestyle Benefit selection 6 months after the end of the 30-day selection period, the Lifestyle Benefit will only be valid for the remaining 6 months of the benefit year. Thereafter you will not be able to change your Lifestyle Benefit selection other than as set out in condition 14. 6. If selecting a 12-month Magazine Subscription as a Lifestyle Benefit you will need to confirm the publication title by visiting http://www.clublloyds.com or calling 0345 3030303 (+441733 462224 if calling from abroad). 7. If you choose a 12-month Gourmet Society digital membership, a 12-month digital Magazine Subscription or 12 Rakuten TV movie rental codes, you must provide a valid email address. 8. The Lifestyle Benefit for digital magazines is available to download on Apple and Android devices. 9. Apple is a registered trademark of Apple Inc., registered in the U.S. and other countries. Android is a trademark of Google Inc. 10. After the 30-day period, Lifestyle Benefits will start to be dispatched. Timings vary depending on the Lifestyle Benefit selected. 11. Postal delivery of Lifestyle Benefits will be delivered to UK street addresses only (i.e. no PO Box addresses). 12. Neither the Administrator nor any Supplier accepts responsibility for delays by the postal services, for incorrect details being provided by the account holder or for any other unforeseen circumstances that may delay delivery. 13. One Lifestyle Benefit per account is available for each 12 months that you have a Club Lloyds account and if leaving Club Lloyds, the benefit may be cancelled at the sole discretion of Lloyds Bank. 14. After the initial 12-month period you will be able to select a new or the same Lifestyle Benefit for the following 12-month period. 30 days before the expiry of any 12-month period you will be sent an email or letter asking you to choose your benefit for the following benefit year. Your final choice must be communicated to the Administrator within 30 days of the expiry of that benefit year or you will be deemed to have chosen the same benefit for the following benefit year. 15. Any Lifestyle Benefit will only be delivered to the email or postal address originally provided to Lloyds Bank when selecting to join Club Lloyds, unless amended or changed by you through Lloyds Bank. 16. Any Lifestyle Benefit that is lost in transit and not delivered to you will only be re-issued twice and only within the same benefit year it was originally issued in. 17. In addition to these general terms and conditions and the terms specified under the section for each Lifestyle Benefit and/or Supplier below, the Lifestyle Benefits are subject to the general terms and conditions of business of the relevant Supplier which can be read (and may be updated from time to time) online at: Vue: http://www.myvue.com/legal Odeon: https://www.odeon.co.uk/privacy-and-legal/ Gourmet Society: https://www.gourmetsociety.co.uk/terms_and_conditions.php Hearst Magazines: http://www.hearstmagazines.co.uk/TermsandConditions.aspx Rakuten: https://www.rakuten.tv/uk/terms_conditions/2366 Any disputes arising other than in connection with these Lifestyle Benefits terms and conditions should be raised with the relevant Supplier. 18. The Administrator shall have no liability for the acts or omissions of any Lifestyle Benefit Supplier other than any refusal by such Supplier to provide a Lifestyle Benefit in accordance with the terms and conditions applicable to it. 19. The Lifestyle Benefits are for personal and non-commercial use and cannot be sold, made available or otherwise transferred to any third party for commercial gain. 20. The description and terms and conditions of Lifestyle Benefits are provided by the relevant Suppliers. 21. There is a maximum of one Lifestyle Benefit per account per year. Joint account holders who choose Gourmet Society Membership will receive their own digital membership number. 22. Lifestyle Benefits sent via post will be sent by Royal Mail 2nd class post. 23. Any questions or complaints should be addressed to Club Lloyds Lifestyle Benefits, PO Box 1586, Westside, London Road, Hemel Hempstead, HP1 9SF or by calling 0345 3030303 or by emailing enquiries@clublloyds.com. 24. Calls may be recorded for monitoring or training purposes. Lines are open seven days a week, 8am to 8pm Monday to Saturday and 9am to 6pm on Sundays. 25. The Administrator does not accept responsibility for registrations lost, corrupted or delayed as a result of any network, computer hardware or software failure of any kind. 26. The Administrator reserves the right to amend or withdraw the Lifestyle Benefits if deemed necessary due to circumstances outside of its control. 27. The Administrator shall not be liable for any failure to comply with its obligations where the failure is caused by something outside its reasonable control or any other circumstances amounting to force majeure. 28. There is no cash or other alternative to the stated Lifestyle Benefits, in whole or in part. Unless otherwise agreed in writing by Lloyds Bank, the Lifestyle Benefits will only be sent directly to the account holder(s). The Promoter reserves the right to change or provide a similar alternative Lifestyle Benefit of the same or greater value or specification should circumstances beyond their control make this necessary. Lifestyle Benefits cannot be exchanged in any Lloyds Bank branches. 29. The law of England and Wales shall apply to the Club Lloyds Lifestyle Benefits and disputes relating to it shall be decided in the Courts of England and Wales. 30. Your personal details will be retained solely for the purpose of operating the Lifestyle Benefits and as further specified in the relevant Supplier's terms and conditions below. Data collected and held by the Administrator and the Suppliers is done so in accordance with applicable data protection law. The Administrator and the Suppliers will comply with applicable data protection law. For full details of our Privacy Notice please visit www.lloydsbank.com/privacy 31. These Lifestyle Benefits are administered by Hawk Incentives Limited, PO Box 1586, Westside, London Road, Hemel Hempstead, HP1 9SF. Company Registration Number 04155659.",1.0,general,general,1
lloyds,Cinema Terms and Conditions,"The following Cinema Supplier related terms & conditions will apply for both Vue and ODEON. 1. The Cinema Suppliers for Club Lloyds Lifestyle A Vue cinema voucher may only be exchanged in a Vue cinema and an ODEON cinema voucher may only be exchanged in an ODEON cinema. 2. For full details on ticket validity, please see the Cinema Supplier Specific Terms and Conditions below. 3. If you select cinema as your Lifestyle Benefit, the Administrator will use the postcode originally provided to Lloyds Bank to identify your nearest Cinema Supplier. You will have ability to manually change the allocated Cinema Supplier within the timeframe stipulated within your Welcome or Renewal Letter or Email. Your final choice must be communicated to the Administrator no later than the final date outlined in your Welcome Letter or Email for new customers or Renewal Letter or Email for Renewal customers.",0.0,,cinema,1
lloyds,Vue Specific Cinema Terms and Conditions,"The following venue related terms & conditions will apply to Vue Cinema Ticket Vouchers: 1. Each cinema ticket voucher can be exchanged for a 2D or 3D admission ticket to any Vue Cinema in the UK only (excluding Gold Class, Premiere seating, Special, Alternative, Event Cinema screenings, Over 18's Screenings and Scene Westfield). Tickets can be upgraded to a VIP or Xtreme ticket at no extra charge. For 3D screenings 3D glasses are provided at no extra charge subject to availability. 2. Each cinema ticket voucher is also valid as part payment for Scene, Gold and IMAX. Upgrades to Scene, Gold and IMAX are available on payment of the difference in cost between Standard adult price for the upgraded experience and standard Adult 2D admission (not VIP seating). 3. Each popcorn voucher can be exchanged at the Box Office only and is valid for one half-price popcorn of any size, any day subject to availability. Valid for a single use only and must be redeemed in conjunction with a valid cinema booking. 4. Each cinema ticket voucher must be used at the time of exchange for any one regularly scheduled film performance subject to availability. Valid for a single use only and cannot be re-instated or replaced once redeemed (this includes if you cancel your booking) 5. Each cinema ticket voucher can be used to book a cinema ticket online at www.myvue.com, or can be exchanged at the box office of any Vue cinema. This ticket voucher cannot be used to reserve an admission ticket by telephone. 6. Each cinema ticket voucher may not be combined with any other ticket offer. It may not be used for premieres or special events. 7. Each cinema ticket voucher cannot be used for Event Cinema screenings, including: NT Live, ROH Live, RSC, Met Opera, Bolshoi, Theatre, Special Events and Bollywood. 8. Each cinema ticket voucher and popcorn voucher is for personal use and may not be exchanged for use at a later date nor may they be exchanged for cash or merchandise or otherwise transferred to any third party for commercial gain. Not for resale. 9. Each cinema ticket voucher expires on the expiration date given and is not subject to extensions. 10. Film classification rules apply. ID may be required. The Cinema Manager's decision is final. 11. Please note that due to Vue's advance booking policy the film and performance you wish to attend may be sold out and seats might not be available. The holder is not entitled to any preferential right over other cinema patrons. 12. For any lost or stolen ticket vouchers, please contact the Club Lloyds helpdesk on 0345 303 0303 (+441733 462224 if calling from abroad). Any lost or stolen cinema vouchers will only be re-issued twice. 13. Vue reserves the right to amend these terms and conditions at any time and without notice. Such changes will be posted on www.myvue.com. Alternatively, you can obtain a copy of the latest terms by calling Vue Guest Services on 0345 308 4620 (local rates apply) or by emailing customerservices@vuemail.com. 14. These terms and conditions and any related disputes are subject to interpretation under the laws of England and Wales, and to the jurisdiction of the courts of England and Wales.",1.0,specific,"vue, cinema",1
lloyds,ODEON Specific Cinema Terms and Conditions,"The following venue related terms & conditions will apply to ODEON vouchers codes: 1. Each cinema ticket voucher may be exchanged for one ticket with a standard, Premier or recliner seat to view a standard 2D, 3D or iSense film showing at any ODEON cinema in the UK except the following cinemas: ODEON Luxe & Dine and BFI IMAX. At ODEON Luxe Leicester Square the voucher code can be used in screens 2-5 but not in the Dolby Cinema. Upgrades are payable for other film formats and seat types (see below). 2. Each cinema ticket can be exchanged for one ticket for ODEON Kids screenings. For each ticket redeemed to an ODEON Kids screening, you are entitled to a free small popcorn. If redeeming your ODEON ticket voucher at the cinema, you will need to ask at the retail counter to redeem your free popcorn. Or, if you have booked your ODEON tickets online, you will receive a QR code from ODEON. Show the QR code to the host serving you at the retail counter. 3. Each cinema ticket voucher includes one pair of 3D glasses in cinema per ticket voucher when used on a 3D film. 4. Each cinema ticket voucher is valid on screenings up to and including the expiry date only. Cinema ticket vouchers are valid for 12 months from the date of issue. 5. Each cinema ticket voucher is valid for standard seats, Premier seats, and recliners in Luxe cinemas and ODEON Bournemouth, ODEON Hatfield and ODEON Taunton. 6. Each cinema ticket voucher is not valid for IMAX, Dolby, Club seats, D-Box seats, VIP seats, or any other premium priced seating not specifically set out in these terms, unless you pay an upgrade fee. The upgrade fees vary per cinema. 7. Each cinema ticket voucher is not valid on Gallery, ODEON Luxe & Dine, ODEON Event Cinema, ODEON Silver Cinema, ODEON Newbies or ODEON Screen Unseen. 8. Each cinema ticket voucher is not valid on premieres, special events or screenings or events not open to the public. 9. Online Redemption: To use your ODEON ticket voucher to book your ODEON ticket online and on the ODEON app, simply enter the ticket voucher code in the 'ODEON Promo Code Box' which appears on the payment page. Online booking fees do not apply if you redeem your ticket voucher online, but will apply for any additional full price tickets in the transaction. 10. Box Office Redemption: To use your ODEON ticket voucher to purchase your ODEON ticket at the cinema, present your printed email or letter containing your ticket voucher at the box office or retail counter. 11. Each cinema ticket voucher cannot be redeemed at ticket machines, but tickets can be collected at ticket machines if the ticket is booked online. 12. Each cinema ticket voucher is not valid in conjunction with any other offer or discount. 13. Each cinema ticket voucher is for your personal use only. 14. Each cinema ticket voucher cannot be used to buy gift vouchers, gift cards, food, drink or any other ODEON goods or services. 15. Tickets are subject to availability, normal age restrictions and other relevant standard terms including ODEON's general admission terms. ID may be required. 16. For any lost or stolen ticket vouchers, please contact the Club Lloyds helpdesk on 0345 303 0303 (+441733 462224 if calling from abroad). Any lost or stolen Vouchers Codes will only be re-issued twice. 17. Issuer: ODEON Cinemas Limited, 8th Floor, 1 Stephen Street, London W1T 1AT",1.0,specific,"odeon, cinema",1
lloyds,Gourmet Society Digital Membership Terms and Conditions,"1. The Gourmet Society digital membership (the'Membership') gives a Club Lloyds customer 12 months access to the Gourmet Society. 2. The digital membership (the 'membership') may be used to obtain discounts at participating restaurants and gives you access to the Gourmet Society plus platform. 3. Advance booking may be required. Where this is required it will be stated in the restaurant's listing in the member's area. You must state that you are a gourmet society member at the time of booking. 4. The membership must be presented at the time of purchasing the meal/s. 5. Some restaurants may have specific exclusions, you can find these by viewing the restaurant page in the App (or please check our website for details). 6. When you accept the Gourmet Society terms & conditions in the app you agree to go ahead with the service. 7. Your digital membership (the 'Membership') expiry date is the date shown on your digital membership card in the Gourmet Society app. 8. Your'Gourmet + membership' will expire on the same date as your full standard membership. 9. We will use your personal data in the provision of your Membership to you, in accordance with our privacy policy. Please ensure that you read and understand our privacy policy at https://www.gourmetsociety.co.uk/privacy_policy.php 10. Your membership is not renewed automatically at the end of each 12-month membership period. 11. There is a maximum of one Lifestyle Benefit per account per year. Joint account holders who choose Gourmet Society Membership will receive their own digital membership number where each account holder provides a valid email address. 12. The Gourmet Society accepts no liability for memberships which are lost or stolen, or for any restaurant failing to accept the membership or honour an advertised discount. For any lost or stolen physical memberships, please contact the Agency on 0345 303 0303 (+44 1733 462224 if calling from abroad). 13. Collection is available from most restaurants. Delivery options may be limited by the delivery distance from pick up to drop off. Delivery distance and hours of operation are controlled by each restaurant. 14. It is your responsibility to ensure that your order is correct before proceeding with payment, as you will not be entitled to make amendments or cancel via the mobile application once the order is submitted. 15. A service charge of Â¬Â£0.49 is applicable to all orders. 16. Prices are controlled and set by the individual restaurants, including the delivery charge, and can change at any time. Any changes to pricing will not affect any orders which have already been accepted by the restaurant. 17. All queries or complaints regarding your order (including delivery) must be directed to the restaurant. 18. Full delivery and collection terms and conditions will be shown at checkout. You must review and accept them before placing an order. 19. For full terms and conditions visit https://www.gourmetsociety.co.uk/terms/corporate.php",0.0,,"gourmet, society, digital, membership",1
lloyds,Magazine Subscription Terms and Conditions,"1. Once the 30-day cooling-off period has expired, the Customer may not change magazine title or format until notified that they may do so after their account opening anniversary. 2. Allow up to 8 weeks for delivery of first printed issue. 3. Magazine subscriptions will be delivered to UK street addresses only (i.e. no PO Box addresses). 4. Delivery is by Second Class post. 5. Subscriptions may not include promotional items packaged with the magazine. 6. In the event that the Customer's choice of title is discontinued, a suitable alternative will be offered for the remainder of the relevant subscription period. 7. The number of issues per annum is subject to change by the publisher. 8. The maximum subscription term is 12 months. The number of magazines issued within the subscription term varies according to the particular publication (for example, currently Esquire has 6 issues per annum, Men's Health has 11 issues per annum, Women's Health has 10 issues per annum and Country Walking has 13 issues per annum). 9. If you choose a digital magazine title as your Club Lloyds Lifestyle Benefit you must provide a valid email address. 10. For digital magazine subscriptions you will receive an email (within 10 working days) with an activation link that includes instructions of how to download your digital magazine subscription. Please check your junk folder for any communication. Once the activation process has been completed, you will have instant access to your chosen digital magazine subscription. 11. Your digital magazine subscription will start with the latest available issue. 12. You will only have access to the issues in your current subscription term and won't be able to access back issues. 13. Magazines published by Hearst Magazines are available digitally on Apple and compatible with Android and Amazon (Trademarked) devices. For more information see https://www.hearstmagazines.co.uk/digitalfaq. 14. Magazines published by Bauer Media are available digitally on Apple and compatible with Android devices only. For a full list of compatible devices in relation to magazines published by Bauer Media please visit www.greatmagazines.co.uk/digital-magazines 15. You will have to access the digital magazine subscription through the built-in Newsstand app on Apple devices and through the Google Play store on Android devices. 16. For full terms and conditions relating to Hearst Magazine magazine subscriptions, including digital, please visit https://www.hearstmagazines.co.uk/terms-and-conditions",0.0,,"magazine, subscription",1
